209,1045,Angry,0.0231
210,1045,Fear,0
211,1036,Neutral,0.9171
212,1036,Happy,0.0005
213,1036,Sad,0.0806
214,1036,Angry,0.0002
215,1036,Fear,0.0016
216,1050,Neutral,0.5432
217,1050,Happy,0
218,1050,Sad,0.455
219,1050,Angry,0.0008
220,1050,Fear,0.001
221,1048,Neutral,0.0375
222,1048,Happy,0.0015
223,1048,Sad,0.8578
224,1048,Angry,0
225,1048,Fear,0.1032
NULL,NULL,NULL,NULL
